Candidate,State,District,Office Type,Race,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?
Shawna Roberts,OH,U.S. House Ohio District 6,Representative,,Regular,5/8/2018,Advanced,None,On the Ballot,-37.610001,74.5,Yes,No,No,No,No,No,No,,,,,,,,,,Yes,,,
Ken Harbaugh,OH,U.S. House Ohio District 7,Representative,,Regular,5/8/2018,Advanced,None,On the Ballot,-27.18,80.199997,Yes,Yes,No,No,No,No,No,Yes,,No,,,,,,,,,Yes,
Vanessa Enoch,OH,U.S. House Ohio District 8,Representative,Nonwhite,Regular,5/8/2018,Advanced,None,On the Ballot,-34.779999,57.91,Yes,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Amanda Douglas,OK,U.S. House Oklahoma District 1,Representative,,Regular,6/26/2018,Advanced,On the Ballot,,-31.959999,32.41,,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Tim Gilpin,OK,U.S. House Oklahoma District 1,Representative,,Regular,6/26/2018,Advanced,On the Ballot,,-31.959999,34.48,,No,No,No,No,No,No,,,No,,,,,,,,,,
Clay Padgett,OK,U.S. House Oklahoma District 2,Representative,,Regular,6/26/2018,Advanced,On the Ballot,,-49.009998,24.23,,Yes,No,No,No,No,No,,,,,,,,,,,,,
Jason Nichols,OK,U.S. House Oklahoma District 2,Representative,Nonwhite,Regular,6/26/2018,Advanced,On the Ballot,,-49.009998,37.880001,,No,No,Yes,No,Yes,No,,,,,,,,,,,,,
Frankie Robbins,OK,U.S. House Oklahoma District 3,Representative,,Regular,6/26/2018,Advanced,None,On the Ballot,-54.009998,64.839996,Yes,No,No,No,No,Yes,No,,,,,,,,,,,,,
Fred Gipson,OK,U.S. House Oklahoma District 4,Representative,,Regular,6/26/2018,Advanced,On the Ballot,,-39.130001,30.360001,,Yes,No,Yes,No,No,No,,,,,,,,,,,,,
Mary Brannon,OK,U.S. House Oklahoma District 4,Representative,,Regular,6/26/2018,Advanced,On the Ballot,,-39.130001,34.360001,,No,No,No,No,No,No,,,,,,,,,,,,,
Kendra Horn,OK,U.S. House Oklahoma District 5,Representative,,Regular,6/26/2018,Advanced,On the Ballot,,-17.18,43.84,,No,No,No,No,No,No,,,,,,,,,,,,,
